wall_time_s,dope_time_s,position,force_n,force_setpoint_n,segment_idx
5.268047,0.000000,0.055633,6.660000,10.000000,1
5.319399,0.000000,0.055633,6.720000,10.000000,1
5.370269,0.000000,0.055633,6.720000,10.000000,1
5.421198,0.000000,0.055633,6.790000,10.000000,1
5.472218,0.000000,0.055633,6.720000,10.000000,1
5.523176,0.000000,0.055633,6.720000,10.000000,1
5.574479,0.000000,0.055634,6.660000,10.000000,1
5.625585,0.000000,0.055634,6.720000,10.000000,1
5.676334,0.000000,0.055634,6.720000,10.000000,1
5.727348,0.000000,0.055634,6.720000,10.000000,1
5.777961,0.000000,0.055635,6.720000,10.000000,1
5.829031,0.000000,0.055635,6.790000,10.000000,1
5.879817,0.000000,0.055635,6.660000,10.000000,1
5.930735,0.000000,0.055635,6.790000,10.000000,1
5.981682,0.000000,0.055636,6.720000,10.000000,1
6.032489,0.000000,0.055636,6.660000,10.000000,1
6.083200,0.000000,0.055636,6.720000,10.000000,1
6.133781,0.000000,0.055636,6.720000,10.000000,1
6.184596,0.000000,0.055637,6.910000,10.000000,1
6.235298,0.000000,0.055637,6.720000,10.000000,1
6.286124,0.000000,0.055637,6.790000,10.000000,1
6.337280,0.000000,0.055637,6.720000,10.000000,1
6.388516,0.000000,0.055638,6.660000,10.000000,1
6.439094,0.000000,0.055638,6.790000,10.000000,1
6.490236,0.000000,0.055638,6.720000,10.000000,1
6.541446,0.000000,0.055638,6.720000,10.000000,1
6.592346,0.000000,0.055638,6.720000,10.000000,1
6.643234,0.000000,0.055639,6.720000,10.000000,1
6.693980,0.000000,0.055639,6.850000,10.000000,1
6.745090,0.000000,0.055639,6.660000,10.000000,1
6.795760,0.000000,0.055639,6.600000,10.000000,1
6.846862,0.000000,0.055640,6.720000,10.000000,1
6.897471,0.000000,0.055640,6.720000,10.000000,1
6.948461,0.000000,0.055640,6.790000,10.000000,1
6.999716,0.000000,0.055641,6.660000,10.000000,1
7.050636,0.000000,0.055641,6.790000,10.000000,1
7.101753,0.000000,0.055641,6.720000,10.000000,1
7.152689,0.000000,0.055641,6.720000,10.000000,1
7.203541,0.000000,0.055642,6.790000,10.000000,1
7.254580,0.000000,0.055642,6.850000,10.000000,1
7.305527,0.000000,0.055642,6.790000,10.000000,1
7.356036,0.000000,0.055642,6.720000,10.000000,1
7.406997,0.000000,0.055643,6.660000,10.000000,1
7.457741,0.000000,0.055643,6.790000,10.000000,1
7.508413,0.000000,0.055643,6.720000,10.000000,1
7.559368,0.000000,0.055643,6.660000,10.000000,1
7.610400,0.000000,0.055644,6.790000,10.000000,1
7.661229,0.000000,0.055644,6.660000,10.000000,1
7.712111,0.000000,0.055644,6.790000,10.000000,1
7.763101,0.000000,0.055645,6.790000,10.000000,1
7.813845,0.000000,0.055645,6.720000,10.000000,1
7.864543,0.000000,0.055645,6.660000,10.000000,1
7.915253,0.000000,0.055645,6.850000,10.000000,1
7.966417,0.000000,0.055645,6.790000,10.000000,1
8.017455,0.000000,0.055646,6.720000,10.000000,1
8.068832,0.000000,0.055646,6.720000,10.000000,1
8.119846,0.000000,0.055646,6.720000,10.000000,1
8.171323,0.000000,0.055646,6.660000,10.000000,1
8.222669,0.000000,0.055647,6.790000,10.000000,1
8.273374,0.000000,0.055647,6.720000,10.000000,1
8.324614,0.000000,0.055647,6.660000,10.000000,1
8.375388,0.000000,0.055647,6.660000,10.000000,1
8.426557,0.000000,0.055648,6.660000,10.000000,1
8.477155,0.000000,0.055648,6.850000,10.000000,1
8.527723,0.000000,0.055648,6.720000,10.000000,1
8.578568,0.000000,0.055649,6.790000,10.000000,1
8.629441,0.000000,0.055649,6.720000,10.000000,1
8.680274,0.000000,0.055649,6.850000,10.000000,1
8.731192,0.000000,0.055649,6.600000,10.000000,1
8.781879,0.000000,0.055650,6.720000,10.000000,1
8.832778,0.000000,0.055650,6.660000,10.000000,1
8.883702,0.000000,0.055650,6.720000,10.000000,1
8.934694,0.000000,0.055650,6.720000,10.000000,1
8.985749,0.000000,0.055651,6.720000,10.000000,1
9.036521,0.000000,0.055651,6.720000,10.000000,1
9.086980,0.000000,0.055651,6.720000,10.000000,1
9.138000,0.000000,0.055651,6.720000,10.000000,1
9.188832,0.000000,0.055652,6.720000,10.000000,1
9.239983,0.000000,0.055652,6.790000,10.000000,1
9.291144,0.000000,0.055652,6.660000,10.000000,1
9.341845,0.000000,0.055652,6.790000,10.000000,1
9.392844,0.000000,0.055652,6.660000,10.000000,1
9.444151,0.000000,0.055653,6.720000,10.000000,1
9.494992,0.000000,0.055653,6.720000,10.000000,1
9.545935,0.000000,0.055653,6.790000,10.000000,1
9.596566,0.000000,0.055654,6.660000,10.000000,1
9.647529,0.000000,0.055654,6.600000,10.000000,1
9.698743,0.000000,0.055654,6.720000,10.000000,1
9.749769,0.000000,0.055654,6.720000,10.000000,1
9.800787,0.000000,0.055655,6.790000,10.000000,1
9.851496,0.000000,0.055655,6.790000,10.000000,1
9.902555,0.000000,0.055655,6.720000,10.000000,1
9.953844,0.000000,0.055655,6.790000,10.000000,1
10.004918,0.000000,0.055656,6.660000,5.000000,2
10.056120,0.000000,0.055656,6.660000,5.000000,2
10.106790,0.000000,0.055656,6.790000,5.000000,2
10.157804,0.000000,0.055656,6.660000,5.000000,2
10.208593,0.000000,0.055657,6.720000,5.000000,2
10.259243,0.000000,0.055657,6.790000,5.000000,2
10.309722,0.000000,0.055657,6.660000,5.000000,2
10.360357,0.000000,0.055657,6.660000,5.000000,2
10.411185,0.000000,0.055657,6.720000,5.000000,2
10.461887,0.000000,0.055657,6.720000,5.000000,2
10.512764,0.000000,0.055657,6.720000,5.000000,2
10.564080,0.000000,0.055657,6.790000,5.000000,2
10.615144,0.000000,0.055657,6.720000,5.000000,2
10.666213,0.000000,0.055657,6.790000,5.000000,2
10.717603,0.000000,0.055657,6.720000,5.000000,2
10.769085,0.000000,0.055657,6.790000,5.000000,2
10.820407,0.000000,0.055657,6.720000,5.000000,2
10.871018,0.000000,0.055656,6.850000,5.000000,2
10.922098,0.000000,0.055656,6.660000,5.000000,2
10.973136,0.000000,0.055656,6.660000,5.000000,2
11.024232,0.000000,0.055656,6.660000,5.000000,2
11.075081,0.000000,0.055656,6.660000,5.000000,2
11.125840,0.000000,0.055656,6.600000,5.000000,2
11.176825,0.000000,0.055656,6.720000,5.000000,2
11.227970,0.000000,0.055656,6.790000,5.000000,2
11.279217,0.000000,0.055656,6.660000,5.000000,2
11.330017,0.000000,0.055656,6.660000,5.000000,2
11.381291,0.000000,0.055655,6.600000,5.000000,2
11.432306,0.000000,0.055655,6.790000,5.000000,2
11.483571,0.000000,0.055655,6.720000,5.000000,2
11.534476,0.000000,0.055655,6.790000,5.000000,2
11.585273,0.000000,0.055655,6.600000,5.000000,2
11.636294,0.000000,0.055655,6.790000,5.000000,2
11.687380,0.000000,0.055655,6.720000,5.000000,2
11.738177,0.000000,0.055654,6.720000,5.000000,2
11.789587,0.000000,0.055654,6.660000,5.000000,2
11.840508,0.000000,0.055654,6.660000,5.000000,2
11.891190,0.000000,0.055654,6.850000,5.000000,2
11.941678,0.000000,0.055654,6.720000,5.000000,2
11.992518,0.000000,0.055654,6.720000,5.000000,2
12.043544,0.000000,0.055654,6.720000,5.000000,2
12.094926,0.000000,0.055654,6.660000,5.000000,2
12.145679,0.000000,0.055654,6.850000,5.000000,2
12.196292,0.000000,0.055653,6.660000,5.000000,2
12.247165,0.000000,0.055653,6.720000,5.000000,2
12.298512,0.000000,0.055653,6.660000,5.000000,2
12.349472,0.000000,0.055653,6.540000,5.000000,2
12.400379,0.000000,0.055653,6.720000,5.000000,2
12.451266,0.000000,0.055653,6.790000,5.000000,2
12.502347,0.000000,0.055653,6.790000,5.000000,2
12.553325,0.000000,0.055653,6.720000,5.000000,2
12.604302,0.000000,0.055652,6.720000,5.000000,2
12.655119,0.000000,0.055652,6.660000,5.000000,2
12.706006,0.000000,0.055652,6.660000,5.000000,2
12.756567,0.000000,0.055652,6.660000,5.000000,2
12.807485,0.000000,0.055652,6.660000,5.000000,2
12.858121,0.000000,0.055652,6.790000,5.000000,2
12.908620,0.000000,0.055652,6.600000,5.000000,2
12.959156,0.000000,0.055652,6.720000,5.000000,2
13.010091,0.000000,0.055651,6.720000,5.000000,2
13.060826,0.000000,0.055651,6.720000,5.000000,2
13.111328,0.000000,0.055651,6.660000,5.000000,2
13.162290,0.000000,0.055651,6.790000,5.000000,2
13.213125,0.000000,0.055651,6.660000,5.000000,2
13.264516,0.000000,0.055651,6.720000,5.000000,2
13.315571,0.000000,0.055651,6.790000,5.000000,2
13.366899,0.000000,0.055651,6.790000,5.000000,2
13.417823,0.000000,0.055650,6.660000,5.000000,2
13.469309,0.000000,0.055650,6.790000,5.000000,2
13.520387,0.000000,0.055650,6.600000,5.000000,2
13.571124,0.000000,0.055650,6.720000,5.000000,2
13.622147,0.000000,0.055650,6.720000,5.000000,2
